name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Real Genius,PG,Comedy,1985,"August 7, 1985 (United States)",7,31000,Martha Coolidge,Neal Israel,Val Kilmer,United States,8000000,12952019,Delphi III Productions,108
Commando,R,Action,1985,"October 4, 1985 (United States)",6.7,150000,Mark L. Lester,Jeph Loeb,Arnold Schwarzenegger,United States,10000000,57491000,SLM Production Group,90
Witness,R,Crime,1985,"February 8, 1985 (United States)",7.4,89000,Peter Weir,William Kelley,Harrison Ford,United States,12000000,68706993,Paramount Pictures,112
The Color Purple,PG-13,Drama,1985,"February 7, 1986 (United States)",7.8,81000,Steven Spielberg,Menno Meyjes,Danny Glover,United States,15000000,98467863,Amblin Entertainment,154
Silverado,PG-13,Action,1985,"July 10, 1985 (United States)",7.2,40000,Lawrence Kasdan,Lawrence Kasdan,Kevin Kline,United States,26000000,32192570,Columbia Pictures,133
Rocky IV,PG,Drama,1985,"November 27, 1985 (United States)",6.9,192000,Sylvester Stallone,Sylvester Stallone,Sylvester Stallone,United States,30000000,300473716,United Artists,91
Better Off Dead...,PG,Comedy,1985,"October 11, 1985 (United States)",7.1,42000,Savage Steve Holland,Savage Steve Holland,John Cusack,United States,,10297601,A&M Films,97
Ran,R,Action,1985,"June 1, 1985 (Japan)",8.2,117000,Akira Kurosawa,Akira Kurosawa,Tatsuya Nakadai,Japan,11500000,4164283,Greenwich Film Productions,162
Ladyhawke,PG-13,Adventure,1985,"April 12, 1985 (United States)",7,44000,Richard Donner,Edward Khmara,Matthew Broderick,United States,20000000,18432000,Twentieth Century Fox,121
A Room with a View,Not Rated,Drama,1985,"April 11, 1986 (United Kingdom)",7.3,41000,James Ivory,E.M. Forster,Maggie Smith,United Kingdom,3000000,21041453,Goldcrest Films International,117
Red Sonja,PG-13,Action,1985,"July 3, 1985 (United States)",5.1,39000,Richard Fleischer,Robert E. Howard,Arnold Schwarzenegger,United States,17900000,6951415,Dino De Laurentiis Company,89
Fright Night,R,Fantasy,1985,"August 2, 1985 (United States)",7.1,63000,Tom Holland,Tom Holland,Chris Sarandon,United States,9000000,24922237,Columbia Pictures,106
Explorers,PG,Adventure,1985,"July 12, 1985 (United States)",6.5,20000,Joe Dante,Eric Luke,Ethan Hawke,United States,25000000,9873044,Paramount Pictures,109
Flesh+Blood,R,Adventure,1985,"August 30, 1985 (United States)",6.7,17000,Paul Verhoeven,Gerard Soeteman,Rutger Hauer,Netherlands,6500000,,Riverside Pictures,126
Mad Max Beyond Thunderdome,PG-13,Action,1985,"July 10, 1985 (United States)",6.3,129000,George Miller,Terry Hayes,Mel Gibson,Australia,10000000,36230219,Kennedy Miller Productions,107
After Hours,R,Comedy,1985,"October 11, 1985 (United States)",7.7,63000,Martin Scorsese,Joseph Minion,Griffin Dunne,United States,4500000,10609321,The Geffen Company,97
A View to a Kill,PG,Action,1985,"May 24, 1985 (United States)",6.3,91000,John Glen,Richard Maibaum,Roger Moore,United Kingdom,30000000,50327960,Eon Productions,131
Fletch,PG,Comedy,1985,"May 31, 1985 (United States)",6.9,49000,Michael Ritchie,Gregory McDonald,Chevy Chase,United States,8000000,59612888,Universal Pictures,98
Perfect,R,Drama,1985,"June 7, 1985 (United States)",4.5,4800,James Bridges,Aaron Latham,John Travolta,United States,19000000,12918858,Columbia Pictures,115
A Nightmare on Elm Street 2: Freddy's Revenge,R,Horror,1985,"November 1, 1985 (United States)",5.5,63000,Jack Sholder,David Chaskin,Robert Englund,United States,3000000,29999213,New Line Cinema,87
Summer Rental,PG,Comedy,1985,"August 9, 1985 (United States)",6.3,15000,Carl Reiner,Jeremy Stevens,John Candy,United States,,24689703,Paramount Pictures,87
Lifeforce,R,Action,1985,"June 21, 1985 (United States)",6.2,24000,Tobe Hooper,Colin Wilson,Steve Railsback,United Kingdom,25000000,11603545,Golan-Globus Productions,101
Pee-wee's Big Adventure,PG,Adventure,1985,"August 9, 1985 (United States)",7,50000,Tim Burton,Phil Hartman,Paul Reubens,United States,6000000,40940662,Warner Bros.,91
Out of Africa,PG,Biography,1985,"December 20, 1985 (United States)",7.2,75000,Sydney Pollack,Karen Blixen,Meryl Streep,United States,31000000,227514205,Mirage Enterprises,161
Day of the Dead,Not Rated,Horror,1985,"July 19, 1985 (United States)",7.1,65000,George A. Romero,George A. Romero,Lori Cardille,United States,3500000,5000000,United Film Distribution Company (UFDC),101
Just One of the Guys,PG-13,Comedy,1985,"April 26, 1985 (United States)",6.5,15000,Lisa Gottlieb,Dennis Feldman,Joyce Hyser,United States,,11528900,Columbia Pictures,100
National Lampoon's European Vacation,PG-13,Adventure,1985,"July 26, 1985 (United States)",6.2,60000,Amy Heckerling,John Hughes,Chevy Chase,United States,17000000,49364621,National Lampoon,95
Spies Like Us,PG,Adventure,1985,"December 6, 1985 (United States)",6.4,45000,John Landis,Dan Aykroyd,Chevy Chase,United States,22000000,60088980,Warner Bros.,102
House,R,Comedy,1985,"February 28, 1986 (United States)",6.2,24000,Steve Miner,Fred Dekker,William Katt,United States,3000000,19444631,New World Pictures,93
Police Academy 2: Their First Assignment,PG-13,Comedy,1985,"March 29, 1985 (United States)",5.8,53000,Jerry Paris,Neal Israel,Steve Guttenberg,United States,7600000,55600000,Warner Bros.,87
The Black Cauldron,PG,Animation,1985,"July 24, 1985 (United States)",6.4,33000,Ted Berman,Lloyd Alexander,Grant Bardsley,United States,44000000,21288692,Walt Disney Pictures,80
Friday the 13th: A New Beginning,R,Horror,1985,"March 22, 1985 (United States)",4.8,35000,Danny Steinmann,Martin Kitrosser,Melanie Kinnaman,United States,2200000,21930418,Georgetown Productions Inc.,92
Runaway Train,R,Action,1985,"January 17, 1986 (United States)",7.2,28000,Andrey Konchalovskiy,Djordje Milicevic,Jon Voight,United States,9000000,7683620,Golan-Globus Productions,111
Re-Animator,Unrated,Comedy,1985,"October 18, 1985 (United States)",7.2,59000,Stuart Gordon,H.P. Lovecraft,Jeffrey Combs,United States,900000,2023414,Empire Pictures,104
Brewster's Millions,PG,Comedy,1985,"May 22, 1985 (United States)",6.5,36000,Walter Hill,George Barr McCutcheon,Richard Pryor,United States,20000000,45833132,Universal Pictures,102
The Last Dragon,PG-13,Action,1985,"March 22, 1985 (United States)",6.9,13000,Michael Schultz,Louis Venosta,Taimak,United States,10000000,25754284,Delphi III Productions,109
The Legend of Billie Jean,PG-13,Action,1985,"July 19, 1985 (United States)",6.6,9200,Matthew Robbins,Mark Rosenthal,Helen Slater,United States,,3099497,Gomillion Studios,96
Desperately Seeking Susan,PG-13,Comedy,1985,"April 12, 1985 (United States)",6,22000,Susan Seidelman,Leora Barish,Rosanna Arquette,United States,4500000,27398584,Orion Pictures,104
Girls Just Want to Have Fun,PG,Comedy,1985,"April 12, 1985 (United States)",6,10000,Alan Metter,Amy Spies,Biff Yeager,United States,,6326051,New World Pictures,90
Vision Quest,R,Drama,1985,"February 15, 1985 (United States)",6.6,8100,Harold Becker,Terry Davis,Matthew Modine,United States,,12993175,Warner Bros.,107
Jagged Edge,R,Drama,1985,"October 4, 1985 (United States)",6.5,14000,Richard Marquand,Joe Eszterhas,Jeff Bridges,United States,15000000,40491165,Columbia Pictures,108
Enemy Mine,PG-13,Action,1985,"December 20, 1985 (United States)",6.9,45000,Wolfgang Petersen,Barry Longyear,Dennis Quaid,United States,40000000,12303411,Twentieth Century Fox,108
Tuff Turf,R,Action,1985,"January 11, 1985 (United States)",6.1,4400,Fritz Kiersch,Jette Rinck,James Spader,United States,,9369329,New World Pictures,112
Volunteers,R,Adventure,1985,"August 16, 1985 (United States)",5.5,8900,Nicholas Meyer,Keith Critchlow,Tom Hanks,United States,,19875740,HBO Pictures,107
The Jewel of the Nile,PG,Action,1985,"December 11, 1985 (United States)",6.1,53000,Lewis Teague,Mark Rosenthal,Michael Douglas,United States,25000000,96773200,SLM Production Group,106
Once Bitten,PG-13,Comedy,1985,"November 15, 1985 (United States)",5.5,14000,Howard Storm,Dimitri Villard,Lauren Hutton,United States,3200000,10000000,Night Life Inc.,94
Private Resort,R,Comedy,1985,"May 3, 1985 (United States)",5.3,7900,George Bowers,Gordon Mitchell,Rob Morrow,United States,,331816,Delphi III Productions,82
Police Story,PG-13,Action,1985,"December 14, 1985 (Hong Kong)",7.6,31000,Jackie Chan,Jackie Chan,Jackie Chan,Hong Kong,,113164,Golden Way Films Ltd.,100
Into the Night,R,Action,1985,"February 22, 1985 (United States)",6.5,11000,John Landis,Ron Koslow,Jeff Goldblum,United States,8000000,7562164,Universal Pictures,115
The Sure Thing,PG-13,Comedy,1985,"March 1, 1985 (United States)",7,20000,Rob Reiner,Steve Bloom,John Cusack,United States,4500000,18135531,Embassy Pictures,95
White Nights,PG-13,Drama,1985,"December 6, 1985 (United States)",6.7,6900,Taylor Hackford,James Goldman,Mikhail Baryshnikov,United States,20000000,42160849,Columbia Pictures,136
Mischief,R,Comedy,1985,"February 8, 1985 (United States)",6.5,5900,Mel Damski,Noel Black,Doug McKeon,United States,,8692426,Twentieth Century Fox,97
Silver Bullet,R,Horror,1985,"October 11, 1985 (United States)",6.4,25000,Daniel Attias,Stephen King,Gary Busey,United States,7000000,12361866,Dino De Laurentiis Company,95
Kiss of the Spider Woman,R,Drama,1985,"July 26, 1985 (United States)",7.4,15000,Hector Babenco,Manuel Puig,William Hurt,Brazil,,17009654,HB Filmes,120
My Beautiful Laundrette,R,Comedy,1985,"April 4, 1986 (United States)",6.9,15000,Stephen Frears,Hanif Kureishi,Saeed Jaffrey,United Kingdom,,2455535,Working Title Films,97
Young Sherlock Holmes,PG-13,Adventure,1985,"December 4, 1985 (United States)",6.8,20000,Barry Levinson,Arthur Conan Doyle,Nicholas Rowe,United States,18000000,19739575,Amblin Entertainment,109
Smooth Talk,PG-13,Drama,1985,"November 15, 1985 (United States)",6.5,2200,Joyce Chopra,Joyce Carol Oates,Treat Williams,United Kingdom,2400000,16785,American Playhouse,92
Porky's Revenge,R,Comedy,1985,"March 22, 1985 (United States)",4.8,8100,James Komack,Bob Clark,Dan Monahan,United States,9000000,20518905,Melvin Simon Productions,92
Year of the Dragon,R,Action,1985,"August 16, 1985 (United States)",6.9,14000,Michael Cimino,Robert Daley,Mickey Rourke,United States,24000000,18707466,Dino De Laurentiis Company,134
Prizzi's Honor,R,Comedy,1985,"June 14, 1985 (United States)",6.7,23000,John Huston,Richard Condon,Jack Nicholson,United States,,26657534,ABC Motion Pictures,130
The Quiet Earth,R,Drama,1985,"October 18, 1985 (United States)",6.8,25000,Geoff Murphy,Craig Harrison,Bruno Lawrence,New Zealand,1000000,2123135,Cinepro,91
Tampopo,Not Rated,Comedy,1985,September 1987 (United States),8,17000,Jûzô Itami,Jûzô Itami,Ken Watanabe,Japan,,444213,Itami Productions,114
Creature,R,Horror,1985,"March 19, 1986 (France)",4.3,3400,William Malone,William Malone,Stan Ivar,United States,750000,,Trans World Entertainment (TWE),97
Secret Admirer,R,Comedy,1985,"June 14, 1985 (United States)",6.6,6600,David Greenwalt,Jim Kouf,C. Thomas Howell,United States,,8622757,Orion Pictures,90
"No Retreat, No Surrender",PG,Action,1985,"May 2, 1986 (United States)",5.7,16000,Corey Yuen,See-Yuen Ng,Kurt McKinney,United States,,4662137,Seasonal Film Corporation,85
D.A.R.Y.L.,PG,Family,1985,"June 14, 1985 (United States)",6.3,12000,Simon Wincer,David Ambrose,Mary Beth Hurt,United Kingdom,,7840873,Paramount Pictures,99
Mishima: A Life in Four Chapters,R,Biography,1985,"September 20, 1985 (United States)",8,10000,Paul Schrader,Paul Schrader,Ken Ogata,United States,5000000,569996,Zoetrope Studios,120
A Chorus Line,PG-13,Drama,1985,"December 20, 1985 (United States)",6.2,9300,Richard Attenborough,Arnold Schulman,Michael Douglas,United States,27000000,14202899,Embassy Pictures,113
Cat's Eye,PG-13,Comedy,1985,"April 12, 1985 (United States)",6.3,23000,Lewis Teague,Stephen King,Drew Barrymore,United States,7000000,13086298,Dino De Laurentiis Company,94
Murphy's Romance,PG-13,Comedy,1985,"January 31, 1986 (United States)",7,5600,Martin Ritt,Max Schott,Sally Field,United States,13000000,30867525,Columbia Pictures,107
Heaven Help Us,R,Comedy,1985,"February 8, 1985 (United States)",6.9,4100,Michael Dinner,Charles Purpura,Donald Sutherland,United States,,6070794,HBO Pictures,104
American Flyers,PG-13,Drama,1985,"August 16, 1985 (United States)",6.5,5700,John Badham,Steve Tesich,Kevin Costner,United States,,1420355,WW Production,113
The Journey of Natty Gann,PG,Adventure,1985,"September 27, 1985 (United States)",7,5600,Jeremy Kagan,Jeanne Rosenberg,Meredith Salenger,United States,,9708373,Walt Disney Pictures,101
Trouble in Mind,R,Comedy,1985,March 1986 (United States),6.5,1800,Alan Rudolph,Alan Rudolph,Kris Kristofferson,United States,,19632,Pfeiffer/Blocker Production,111
Fandango,PG,Comedy,1985,"January 25, 1985 (United States)",6.7,7500,Kevin Reynolds,Kevin Reynolds,Kevin Costner,United States,7000000,91666,Warner Bros.,91
Gotcha!,PG-13,Action,1985,"May 3, 1985 (United States)",6.2,7000,Jeff Kanew,Paul G. Hensler,Anthony Edwards,United States,,10806919,Universal Pictures,101
Death Wish 3,R,Action,1985,"November 1, 1985 (United States)",5.9,14000,Michael Winner,Don Jakoby,Charles Bronson,United States,9000000,16116878,The Cannon Group,92
King Solomon's Mines,PG-13,Action,1985,"November 22, 1985 (United States)",5.2,13000,J. Lee Thompson,H. Rider Haggard,Richard Chamberlain,United States,12500000,15057465,The Cannon Group,100
American Warrior,R,Action,1985,"August 30, 1985 (United States)",5.5,14000,Sam Firstenberg,Paul De Mielche,Michael Dudikoff,United States,1000000,10499694,The Cannon Group,95
The Emerald Forest,R,Action,1985,"July 3, 1985 (United States)",6.9,9600,John Boorman,Rospo Pallenberg,Powers Boothe,United Kingdom,,24468550,Christel Films,114
The Holcroft Covenant,R,Action,1985,"October 18, 1985 (United States)",5.7,3100,John Frankenheimer,Robert Ludlum,Michael Caine,United Kingdom,,393825,Edie & Ely Landau Inc.,112
The Falcon and the Snowman,R,Biography,1985,"February 8, 1985 (United States)",6.8,11000,John Schlesinger,Robert Lindsey,Timothy Hutton,United Kingdom,12000000,17130087,Hemdale,131
Transylvania 6-5000,PG,Comedy,1985,"November 8, 1985 (United States)",5,6900,Rudy De Luca,Rudy De Luca,Jeff Goldblum,Yugoslavia,3000000,7196872,Balcor Film Investors,93
Desert Hearts,R,Drama,1985,"March 7, 1986 (United States)",7,5500,Donna Deitch,Jane Rule,Helen Shaver,United States,1250000,2492088,Desert Hearts Productions,91
The Heavenly Kid,PG-13,Comedy,1985,"July 26, 1985 (United States)",6.3,4600,Cary Medoway,Cary Medoway,Lewis Smith,United States,,3852271,Engelberg-Sumner-Cheikes,90
The Purple Rose of Cairo,PG,Comedy,1985,"April 19, 1985 (United States)",7.7,48000,Woody Allen,Woody Allen,Mia Farrow,United States,15000000,10631333,Jack Rollins & Charles H. Joffe Productions,82
The Man with One Red Shoe,PG,Comedy,1985,"July 19, 1985 (United States)",5.7,15000,Stan Dragoti,Francis Veber,Tom Hanks,United States,16000000,8645411,Twentieth Century Fox,92
My Life as a Dog,Unrated,Drama,1985,"May 1, 1987 (United States)",7.6,19000,Lasse Hallström,Reidar Jönsson,Anton Glanzelius,Sweden,,8349284,Svensk Filmindustri (SF),101
My Science Project,PG,Action,1985,"August 9, 1985 (United States)",6,5500,Jonathan R. Betuel,Jonathan R. Betuel,John Stockwell,United States,,4122748,Touchstone Pictures,94
Seven Minutes in Heaven,PG-13,Comedy,1985,"May 9, 1985 (United States)",6.1,1500,Linda Feferman,Jane Bernstein,Jennifer Connelly,United States,,,Fifteen,88
Fraternity Vacation,R,Comedy,1985,"April 12, 1985 (United States)",5.3,2200,James Frawley,Lindsay Harrison,Stephen Geoffreys,United States,,3333306,New World Pictures,94
The New Kids,R,Crime,1985,"January 18, 1985 (United States)",6.1,2900,Sean S. Cunningham,Stephen Gyllenhaal,Shannon Presby,United States,,199108,Columbia Pictures,110
Tomboy,R,Comedy,1985,"November 14, 1985 (West Germany)",4.7,1400,Herb Freed,Ben Zelig,Betsy Russell,United States,,14100000,Marimark Productions,91
Invasion U.S.A.,R,Action,1985,"September 27, 1985 (United States)",5.5,9200,Joseph Zito,James Bruner,Chuck Norris,United States,10000000,17536256,Cannon Films,107
Revolution,PG,Adventure,1985,"December 25, 1985 (United States)",5.3,6500,Hugh Hudson,Robert Dillon,Al Pacino,United Kingdom,28000000,358574,Goldcrest Films International,126
Lost in America,R,Comedy,1985,"February 8, 1985 (United States)",7,8200,Albert Brooks,Albert Brooks,Albert Brooks,United States,,10179000,The Geffen Company,91
Subway,R,Thriller,1985,"November 6, 1985 (United States)",6.6,14000,Luc Besson,Luc Besson,Christopher Lambert,France,,390659,Les Films du Loup,104
Moving Violations,PG-13,Comedy,1985,"April 19, 1985 (United States)",5.7,3800,Neal Israel,Neal Israel,John Murray,United States,,10627754,SLM Production Group,90
Nomads,R,Horror,1985,"March 7, 1986 (United States)",5.3,4000,John McTiernan,John McTiernan,Lesley-Anne Down,United States,,2278264,Cinema VII,91
Fool for Love,R,Drama,1985,"May 14, 1986 (France)",6.1,2400,Robert Altman,Sam Shepard,Sam Shepard,United States,,836156,Cinema '84,106
Baby: Secret of the Lost Legend,PG,Adventure,1985,"March 22, 1985 (United States)",5.1,3100,Bill Norton,Clifford Green,William Katt,United States,,14972297,Silver Screen Partners II,95
Code of Silence,R,Action,1985,"May 3, 1985 (United States)",6.1,7300,Andrew Davis,Michael Butler,Chuck Norris,United States,7000000,20345361,Orion Pictures,101
Crimewave,PG-13,Comedy,1985,"April 25, 1986 (United States)",5.7,5300,Sam Raimi,Ethan Coen,Louise Lasser,United States,3000000,5101,Columbia Pictures,83
Gymkata,R,Action,1985,"May 3, 1985 (United States)",4.4,3900,Robert Clouse,Charles Robert Carner,Kurt Thomas,United States,,5730596,Metro-Goldwyn-Mayer (MGM),90
Sweet Dreams,PG-13,Biography,1985,"October 11, 1985 (United States)",7.1,4400,Karel Reisz,Robert Getchell,Jessica Lange,United States,,9085049,HBO Pictures,115
The Slugger's Wife,PG-13,Comedy,1985,"March 29, 1985 (United States)",4.5,1000,Hal Ashby,Neil Simon,Michael O'Keefe,United States,,1878561,Rastar Films,105
Avenging Angel,R,Action,1985,"January 11, 1985 (United States)",4.8,1400,Robert Vincent O'Neil,Robert Vincent O'Neil,Betsy Russell,United States,,5622787,Avenging Venture,93
Santa Claus: The Movie,PG,Adventure,1985,"November 27, 1985 (United States)",6.3,12000,Jeannot Szwarc,David Newman,Dudley Moore,United Kingdom,50000000,23717291,GGG,107
